Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
Data Scientist III,Connecticut,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",102647,113798,126046,139769,152263
Data Scientist III,California,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",105047,116459,128993,143037,155823
Data Scientist III,Utah,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",90115,99905,110657,122704,133673
Data Scientist III,Colorado,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",96219,106671,118152,131016,142727
Data Scientist III,Nebraska,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",89362,99069,109732,121679,132555
Data Scientist III,Missouri,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",90747,100606,111434,123565,134611
Data Scientist III,Kentucky,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",89619,99354,110048,122029,132937
Data Scientist III,West Virginia,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",85760,95076,105309,116774,127213
Data Scientist III,Virginia,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",94666,104950,116246,128902,140424
Data Scientist III,Maryland,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",98196,108863,120580,133708,145660
Data Scientist III,Delaware,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",97285,107854,119462,132468,144309
Data Scientist III,Arizona,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",93276,103409,114539,127008,138362
Data Scientist III,New Mexico,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",87847,97391,107873,119617,130309
Data Scientist III,Kansas,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",90685,100537,111358,123481,134519
Data Scientist III,Arkansas,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",86790,96219,106574,118177,128741
